"btfid","gtfid","stfid","hra"
530330208003000,530330208003,53033020800,"Shoreline"
530330203002013,530330203002,53033020300,"Shoreline"
530330215002002,530330215002,53033021500,"Kenmore/LFP"
530330204013014,530330204013,53033020401,"Shoreline"
530330215002003,530330215002,53033021500,"Kenmore/LFP"
530330205006003,530330205006,53033020500,"Shoreline"
530330215002004,530330215002,53033021500,"Kenmore/LFP"
530330208004006,530330208004,53033020800,"Shoreline"
530330215002007,530330215002,53033021500,"Kenmore/LFP"
530330208001000,530330208001,53033020800,"Shoreline"
530330218021008,530330218021,53033021802,"Bothell/Woodinville"
530330323073008,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330323073009,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330323193016,530330323193,53033032319,"Bothell/Woodinville"
530330215002008,530330215002,53033021500,"Kenmore/LFP"
530330204022006,530330204022,53033020402,"Kenmore/LFP"
530330215002009,530330215002,53033021500,"Kenmore/LFP"
530330205006001,530330205006,53033020500,"Shoreline"
530330215002010,530330215002,53033021500,"Kenmore/LFP"
530330216002005,530330216002,53033021600,"Kenmore/LFP"
530330216004007,530330216004,53033021600,"Kenmore/LFP"
530330203003006,530330203003,53033020300,"Shoreline"
530330323071007,530330323071,53033032307,"Bear Creek/Carnation/Duvall"
530330218034006,530330218034,53033021803,"Bothell/Woodinville"
530330216003011,530330216003,53033021600,"Kenmore/LFP"
